agent_id,date,conflict_severity,available_time,required_time,current_tour_end,next_tour_start
25ffdb26-bfbc-43cf-b400-0223decaa038,2025-05-16,25.334875958546576,-15.0,10.334875958546576,2025-05-16 18:15:00,2025-05-16 18:00:00
25ffdb26-bfbc-43cf-b400-0223decaa038,2025-05-16,12.108029371064788,0.0,12.108029371064788,2025-05-16 19:00:00,2025-05-16 19:00:00
25ffdb26-bfbc-43cf-b400-0223decaa038,2025-05-17,12.108029371064788,0.0,12.108029371064788,2025-05-17 17:00:00,2025-05-17 17:00:00
25ffdb26-bfbc-43cf-b400-0223decaa038,2025-05-17,12.108029371064788,0.0,12.108029371064788,2025-05-17 19:00:00,2025-05-17 19:00:00
25ffdb26-bfbc-43cf-b400-0223decaa038,2025-05-19,12.503403674298394,0.0,12.503403674298394,2025-05-19 16:00:00,2025-05-19 16:00:00
25ffdb26-bfbc-43cf-b400-0223decaa038,2025-05-19,12.108029371064788,0.0,12.108029371064788,2025-05-19 21:00:00,2025-05-19 21:00:00
25ffdb26-bfbc-43cf-b400-0223decaa038,2025-05-21,4.764451888109434,15.0,19.764451888109434,2025-05-21 16:45:00,2025-05-21 17:00:00
25ffdb26-bfbc-43cf-b400-0223decaa038,2025-05-23,20.161631066757536,0.0,20.161631066757536,2025-05-23 17:45:00,2025-05-23 17:45:00
0c398d8d-c79b-4ca6-831b-2727b7b41600,2025-05-01,10.534647924625943,0.0,10.534647924625943,2025-05-01 17:00:00,2025-05-01 17:00:00
0c398d8d-c79b-4ca6-831b-2727b7b41600,2025-05-03,55.0,-45.0,10.0,2025-05-03 14:45:00,2025-05-03 14:00:00
0c398d8d-c79b-4ca6-831b-2727b7b41600,2025-05-03,25.0,-15.0,10.0,2025-05-03 15:45:00,2025-05-03 15:30:00
0c398d8d-c79b-4ca6-831b-2727b7b41600,2025-05-05,4.764451888109434,15.0,19.764451888109434,2025-05-05 16:45:00,2025-05-05 17:00:00
0c398d8d-c79b-4ca6-831b-2727b7b41600,2025-05-05,5.460035594910849,15.0,20.46003559491085,2025-05-05 18:45:00,2025-05-05 19:00:00
0c398d8d-c79b-4ca6-831b-2727b7b41600,2025-05-09,1.1751934999201765,15.0,16.175193499920177,2025-05-09 16:45:00,2025-05-09 17:00:00
0c398d8d-c79b-4ca6-831b-2727b7b41600,2025-05-09,10.616117048498422,0.0,10.616117048498422,2025-05-09 18:00:00,2025-05-09 18:00:00
0c398d8d-c79b-4ca6-831b-2727b7b41600,2025-05-14,5.460035594910849,15.0,20.46003559491085,2025-05-14 16:15:00,2025-05-14 16:30:00
0c398d8d-c79b-4ca6-831b-2727b7b41600,2025-05-14,12.503403674298394,0.0,12.503403674298394,2025-05-14 21:00:00,2025-05-14 21:00:00
0c398d8d-c79b-4ca6-831b-2727b7b41600,2025-05-15,10.0,0.0,10.0,2025-05-15 18:00:00,2025-05-15 18:00:00
